"year" "name" "acpp" "cc" "fstprp" "fstpp" "gctr" "stpp" "pcpi" "pi" "pop" "gstpp" "cpi" "inflation_factor" "racpp" "rfstpp" "rgctr" "rstpp" "rpi" "rpcpi" "rgstpp"
"389" 1977 "New Mexico" 0.56 102.4 35.7 0.2 14347000 0.12 6307 7728095 1225245 0.02 60.6 0.255981346309814 2.18765940594059 0.781306930693069 56047052.6732673 0.468784158415841 30190070.9227723 24638.5140594059 0.0781306930693069
"390" 1977 "New York" 0.595 125.5 38.7 0.23 340307000 0.15 8155 145585536 17851507 0.02 60.6 0.255981346309814 2.32438811881188 0.89850297029703 1329421088.31683 0.585980198019802 568734941.427327 31857.7900990099 0.0781306930693069
"391" 1977 "North Carolina" 0.418 217 23.9 0.1 23730000 0.02 6175 35004010 5668494 0.02 60.6 0.255981346309814 1.63293148514851 0.390653465346535 92702067.3267327 0.0781306930693069 136744378.075247 24122.8514851485 0.0781306930693069
"392" 1977 "North Dakota" 0.532 122.2 35.7 0.19 8641141 0.11 6588 4276480 649168 0.02 60.6 0.255981346309814 2.07827643564356 0.742241584158416 33756916.7619802 0.429718811881188 16706217.3148515 25736.2502970297 0.0781306930693069
"393" 1977 "Ohio" 0.539 127.3 42.7 0.23 204153000 0.15 7453 80273127 10771232 0 60.6 0.255981346309814 2.10562217821782 0.89850297029703 797530769.108911 0.585980198019802 313589752.367525 29115.4027722772 0
"394" 1977 "Oklahoma" 0.531 140.4 39.5 0.21 50502883 0.13 6698 19196673 2865935 0 60.6 0.255981346309814 2.0743699009901 0.820372277227723 197291262.539406 0.507849504950495 74992468.3057426 26165.9691089109 0
"395" 1977 "Oregon" 0.507 155.6 33.5 0.17 32606000 0.09 7652 18666901 2439355 0 60.6 0.255981346309814 1.98061306930693 0.664110891089109 127376468.910891 0.351588118811881 72922895.6293069 29892.8031683168 0
"396" 1977 "Pennsylvania" 0.574 120.1 45.3 0.26 256408000 0.18 7488 88973804 11881857 0 60.6 0.255981346309814 2.24235089108911 1.01569900990099 1001666737.42574 0.703176237623762 347579248.576634 29252.1314851485 0
"397" 1977 "Rhode Island" 0.563 148.8 46.2 0.26 24823000 0.18 7128 6808542 955128 0 60.6 0.255981346309814 2.19937900990099 1.01569900990099 96971909.7029703 0.703176237623762 26597805.2625743 27845.779009901 0
"398" 1977 "South Carolina" 0.492 137.2 30.5 0.15 23441273 0.06 5860 17515221 2988979 0.02 60.6 0.255981346309814 1.92201504950495 0.585980198019802 91574145.2958416 0.234392079207921 68423817.799604 22892.2930693069 0.0781306930693069
